serial no.,Game,Start,End,Genre
1,Subnautica,12-12-2018,27-12-2018,First-ever Epic free game.
2,Super Meat Boy,28-12-2018,10-01-2019,Second giveaway.
3,What Remains of Edith Finch,11-01-2019,24-01-2019,Early weekly rotation.
4,The Jackbox Party Pack,24-01-2019,07-02-2019,Party game bundle.
5,Axiom Verge,07-02-2019,21-02-2019,Metroidvania title.
6,Thimbleweed Park,21-02-2019,07-03-2019,Point-and-click adventure.
7,Slime Rancher,07-03-2019,21-03-2019,Farming / collection sim.
8,Oxenfree,21-03-2019,04-04-2019,Narrative adventure.
9,The Witness,04-04-2019,18-04-2019,Puzzle game.
10,Transistor,18-04-2019,02-05-2019,Action RPG.
11,World of Goo,02-05-2019,16-05-2019,Physics puzzler.
12,Stories Untold,16-05-2019,30-05-2019,Horror anthology.
13,RiME,23-05-2019,30-05-2019,Adventure / puzzle.
14,City of Brass,30-05-2019,06-06-2019,First-person rogue-lite.
15,Kingdom: New Lands,06-06-2019,13-06-2019,Strategy / management.
16,Enter the Gungeon,13-06-2019,20-06-2019,Bullet-hell rogue-lite.
17,Rebel Galaxy,20-06-2019,27-06-2019,Space combat / trading.
18,Last Day of June,27-06-2019,04-07-2019,Narrative adventure.
19,Overcooked!,04-07-2019,11-07-2019,Co-op cooking game.
20,Torchlight,11-07-2019,18-07-2019,ARPG.
21,Limbo,18-07-2019,25-07-2019,Platformer.
22,Moonlighter,25-07-2019,01-08-2019,Shopkeeping ARPG.
23,This War of Mine,25-07-2019,01-08-2019,War survival sim.
24,Alan Wake,02-08-2019,09-08-2019,Action thriller.
25,For Honor,02-08-2019,09-08-2019,Multiplayer melee combat.
26,GNOG,08-08-2019,15-08-2019,Puzzle game.
27,Hyper Light Drifter,15-08-2019,22-08-2019,2D action RPG.
28,Mutant Year Zero: Road to Eden,15-08-2019,22-08-2019,Tactical strategy.
29,Fez,22-08-2019,29-08-2019,Puzzle platformer.
30,Inside,29-08-2019,05-09-2019,Puzzle platformer.
31,Celeste,29-08-2019,05-09-2019,Precision platformer.
32,The End is Nigh,05-09-2019,12-09-2019,Platformer.
33,ABZU,05-09-2019,12-09-2019,Underwater exploration.
34,Conarium,12-09-2019,19-09-2019,Lovecraftian horror.
35,Batman: Arkham Collection,19-09-2019,26-09-2019,AAA bundle.
36,LEGO Batman Trilogy,19-09-2019,26-09-2019,Family platformers.
37,Everything,26-09-2019,03-10-2019,Experimental sim.
38,Metro 2033 Redux,26-09-2019,03-10-2019,FPS survival.
39,Minit,03-10-2019,10-10-2019,60-second adventure.
40,Surviving Mars,10-10-2019,17-10-2019,Colony builder.
41,Observer,24-10-2019,31-10-2019,Cyberpunk horror.
42,Layers of Fear,24-10-2019,31-10-2019,Psychological horror.
43,Q.U.B.E. 2,31-10-2019,07-11-2019,First-person puzzler.
44,SOMA,31-10-2019,07-11-2019,Sci-fi horror.
45,Nuclear Throne,07-11-2019,14-11-2019,Top-down shooter.
46,Ruiner,07-11-2019,14-11-2019,Cyberpunk action.
47,The Messenger,14-11-2019,21-11-2019,Ninja platformer.
48,Bad North: Jotunn Edition,21-11-2019,29-11-2019,Tactics / defense.
49,Rayman Legends,29-11-2019,06-12-2019,Platformer.
